po_id,vendor_id,item_id,unit_price,qty,total,date,contract_id
PO000000,V001,ITEM0081,492.61,13,6403.98,2025-09-23,
PO000001,V014,ITEM0094,374.63,1,374.63,2025-08-21,
PO000002,V014,ITEM0165,202.24,49,9909.56,2025-08-17,
PO000003,V012,ITEM0050,278.99,7,1952.92,2025-07-26,
PO000004,V001,ITEM0040,116.87,49,5726.74,2025-06-23,
PO000005,V009,ITEM0011,176.97,42,7432.94,2025-08-18,
PO000006,V012,ITEM0066,103.97,17,1767.57,2025-09-24,
PO000007,V010,ITEM0187,27.21,34,925.24,2025-08-08,
PO000008,V010,ITEM0102,304.81,41,12497.37,2025-09-11,
PO000009,V019,ITEM0190,197.72,50,9885.92,2025-09-30,C0012
PO000010,V019,ITEM0173,81.87,24,1964.78,2025-08-02,
PO000011,V001,ITEM0170,482.1,33,15909.42,2025-09-30,
PO000012,V007,ITEM0118,280.86,23,6459.77,2025-08-20,
PO000013,V019,ITEM0197,331.38,46,15243.41,2025-10-05,
PO000014,V012,ITEM0177,40.33,42,1693.69,2025-09-01,
PO000015,V004,ITEM0024,244.19,27,6593.25,2025-10-15,
PO000016,V016,ITEM0088,186.35,1,186.35,2025-06-06,
PO000017,V008,ITEM0016,379.06,49,18573.98,2025-08-31,C0039
PO000018,V010,ITEM0184,363.26,24,8718.24,2025-08-16,
PO000019,V012,ITEM0043,498.92,48,23947.99,2025-08-06,
PO000020,V000,ITEM0124,437.24,33,14429.08,2025-06-20,
PO000021,V002,ITEM0011,180.17,30,5405.15,2025-07-18,
PO000022,V000,ITEM0192,215.23,17,3658.98,2025-11-16,
PO000023,V001,ITEM0065,219.69,9,1977.18,2025-07-24,
PO000024,V006,ITEM0183,19.93,35,697.43,2025-11-20,
PO000025,V014,ITEM0163,349.56,26,9088.62,2025-07-16,
PO000026,V009,ITEM0150,43.49,9,391.45,2025-08-06,
PO000027,V014,ITEM0013,135.08,11,1485.92,2025-06-26,
PO000028,V011,ITEM0101,375.31,2,750.63,2025-09-13,
PO000029,V008,ITEM0176,278.57,43,11978.69,2025-07-21,
PO000030,V012,ITEM0006,317.16,50,15857.92,2025-09-15,
PO000031,V004,ITEM0068,42.69,12,512.28,2025-06-09,
PO000032,V009,ITEM0145,56.61,35,1981.44,2025-09-05,C0007
PO000033,V002,ITEM0111,236.67,16,3786.69,2025-11-13,
PO000034,V019,ITEM0130,472.07,30,14162.05,2025-08-18,
PO000035,V011,ITEM0074,470.57,4,1882.28,2025-10-13,
PO000036,V002,ITEM0070,422.09,5,2110.44,2025-06-16,
PO000037,V002,ITEM0146,54.16,38,2058.0,2025-10-08,
PO000038,V005,ITEM0112,261.29,32,8361.16,2025-06-23,
PO000039,V014,ITEM0187,27.91,2,55.81,2025-08-09,
PO000040,V004,ITEM0116,165.88,47,7796.56,2025-10-19,
PO000041,V009,ITEM0034,383.22,2,766.44,2025-07-06,
PO000042,V004,ITEM0198,19.88,1,19.88,2025-06-12,
PO000043,V001,ITEM0183,19.9,33,656.55,2025-09-01,
PO000044,V009,ITEM0091,23.61,11,259.71,2025-08-24,
PO000045,V001,ITEM0101,392.49,31,12167.08,2025-09-28,
PO000046,V013,ITEM0025,494.2,32,15814.3,2025-11-12,
PO000047,V019,ITEM0196,40.31,10,403.15,2025-11-05,
PO000048,V004,ITEM0094,393.9,31,12210.85,2025-09-21,
PO000049,V019,ITEM0125,492.99,2,985.98,2025-11-24,
PO000050,V001,ITEM0021,434.18,31,13459.63,2025-08-10,
PO000051,V018,ITEM0085,485.46,3,1456.39,2025-07-29,
PO000052,V003,ITEM0024,256.03,10,2560.26,2025-11-07,
PO000053,V011,ITEM0034,356.27,38,13538.13,2025-10-31,
PO000054,V013,ITEM0179,14.79,20,295.76,2025-07-23,
PO000055,V006,ITEM0087,373.47,2,746.95,2025-10-26,
PO000056,V008,ITEM0001,7.78,22,171.21,2025-08-21,
PO000057,V018,ITEM0004,425.22,8,3401.77,2025-11-03,
PO000058,V011,ITEM0131,215.15,4,860.62,2025-09-06,
PO000059,V012,ITEM0038,445.98,26,11595.56,2025-08-12,
PO000060,V004,ITEM0194,316.58,44,13929.52,2025-09-18,
PO000061,V015,ITEM0012,233.98,29,6785.52,2025-10-27,
PO000062,V002,ITEM0152,112.01,47,5264.42,2025-08-31,
PO000063,V002,ITEM0108,99.94,4,399.74,2025-10-12,
PO000064,V014,ITEM0098,427.87,39,16687.02,2025-06-19,
PO000065,V001,ITEM0070,403.7,28,11303.66,2025-08-24,
PO000066,V018,ITEM0090,360.82,32,11546.32,2025-06-03,
PO000067,V001,ITEM0112,268.0,3,803.99,2025-09-15,
PO000068,V000,ITEM0005,389.96,15,5849.45,2025-07-17,
PO000069,V011,ITEM0081,450.22,29,13056.39,2025-07-09,
PO000070,V019,ITEM0180,331.94,13,4315.28,2025-10-22,
PO000071,V007,ITEM0129,277.27,46,12754.24,2025-10-07,
PO000072,V013,ITEM0125,360.39,20,7207.78,2025-07-09,
PO000073,V003,ITEM0179,14.29,25,357.2,2025-10-20,
PO000074,V000,ITEM0088,182.57,24,4381.71,2025-11-08,
PO000075,V014,ITEM0186,377.04,50,18851.97,2025-07-22,
PO000076,V005,ITEM0130,501.14,37,18542.14,2025-07-24,
PO000077,V014,ITEM0073,264.6,45,11906.97,2025-10-19,
PO000078,V013,ITEM0101,363.36,42,15261.02,2025-11-02,
PO000079,V018,ITEM0173,82.48,4,329.91,2025-08-12,
PO000080,V015,ITEM0124,423.42,34,14396.38,2025-09-01,
PO000081,V001,ITEM0064,261.81,18,4712.53,2025-08-23,
PO000082,V016,ITEM0133,425.95,7,2981.68,2025-07-26,
PO000083,V013,ITEM0038,409.02,30,12270.5,2025-09-28,
PO000084,V003,ITEM0196,39.76,20,795.12,2025-11-21,
PO000085,V005,ITEM0110,128.98,49,6319.91,2025-08-15,
PO000086,V016,ITEM0173,82.59,10,825.94,2025-07-30,
PO000087,V018,ITEM0061,197.08,15,2956.13,2025-07-10,
PO000088,V012,ITEM0005,397.13,17,6751.29,2025-09-02,
PO000089,V012,ITEM0112,258.88,9,2329.94,2025-11-17,
